# Archival forcing corpus — per-cell forceability register (AFC-1).
# Pin: a6160a4bd. Denominator: 17 tables x 2 halves = 34 cells.
# Anchors re-resolved 2026-09-14 after merging origin/dev (PL-D3) into the
# SL-D coverage branch — same symbols, at the lines the merge moved them to.
# Re-resolved 2026-09-18 after `get_output_histogram` left `db_lmdb.cpp`
# (93 lines at the old :4539): every later `db_lmdb.cpp` site moved with it.
# Re-resolved 2026-09-21 after HoldingsUpdate apply/pop left db_lmdb.cpp
# (~227 lines) and blockchain_db.cpp (the connect arm plus the pop-order
# comment): every later site moved with it. Symbols re-checked at the new
# lines, not blindly subtracted. HoldingsUpdate cells are EXCLUDED (kind
# REJECTED 2026-09-20); the table remains in the X-macro until a layout
# bump drops it.
# Re-resolved 2026-09-23 after the tx_extra cutover grew `extract_leaf_entries`
# in blockchain_db.cpp's add_block by 8 lines (the shekyl-wire codec read
# replacing the C++ parse): every later blockchain_db.cpp site moved +8; the
# gate re-checked each symbol at its new line.
# Table set is derived from the X(LMDB_ARCHIVAL_ ...) X-macro at
# src/blockchain_db/lmdb/db_lmdb.cpp:356-372 — not hand-listed.
# disposition is FORCED-BY:<event> or EXCLUDED:<reason>.
# symbol is the EXACT identifier that must appear at `site`. It is a typed
# column, not prose: the anchor leg matches THIS and nothing else, so a note
# reworded or a line drifted cannot silently keep a citation green.
# Re-resolved 2026-09-21 (later the same day) after the stripe engine left
# `db_lmdb.cpp` (prune_worker and the txs_prunable_tip write, ~340 lines) and
# `blockchain.cpp` (PDM-Q7, `feat/pruning-seed-wire-deletion`): every later
# site moved with it. Each anchor re-found by its exact pre-change line text.
# Re-resolved 2026-09-22 after the C++ tx-data prune left `db_lmdb.cpp`
# (`prune_tx_data`, `output_metadata`, `txs_prunable_tip`; LMDB v15, ~256
# lines): every later site moved with it, each re-found by exact line text.
# Re-resolved 2026-09-22 after merging origin/dev (slice 4 precursor)
# into the tx-data prune deletion: db_lmdb.cpp anchors moved one line with
# the read-only open fix; the two blockchain.cpp anchors moved with the
# economics FFI edit. Each site re-found by the symbol on the merged line.
table	half	disposition	site	symbol	note
archival_serve_credit	apply	FORCED-BY:tx-with-serve-credit-response-vin	blockchain_db.cpp:294	set_archival_serve_credit_bit	set_archival_serve_credit_bit from txin_archival_serve_credit_response
archival_serve_credit	revert	FORCED-BY:pop-of-that-block	blockchain_db.cpp:931	remove_archival_serve_credit_bit	remove_archival_serve_credit_bit
archival_settlement	apply	EXCLUDED:no-production-caller	db_lmdb.cpp:6789	set_archival_settlement	held under writer-round 5.1 pending SO-D8; unit KAT exists, LMDB-bound
archival_settlement	revert	EXCLUDED:vacuous-over-never-written-table	db_lmdb.cpp:6875	delete_archival_settlement_for_epoch	delete runs but cannot discriminate; only write is mdb_cursor_del, no counter
archival_attestation_witness	apply	EXCLUDED:no-producer-at-this-pin	blockchain.cpp:5950	connect.attestation_witness	no emitter exists: tree says "Empty on local mine and until the Phase 2/3 template writer populates it"; FFI exposes verify + pass_p_ids only
archival_attestation_witness	revert	EXCLUDED:vacuous-over-never-written-table	db_lmdb.cpp:9115	remove_archival_attestation_witness_at_height	remove_archival_attestation_witness_at_height is a lone mdb_del, no counter, no side effect
archival_alt_attestation_witness	apply	EXCLUDED:no-producer-at-this-pin	blockchain.cpp:2370	store_archival_alt_attestation_witness	stores connect.attestation_witness, which no in-tree emitter ever populates; same blocker as the main-chain row
archival_alt_attestation_witness	revert	EXCLUDED:vacuous-over-never-written-table	db_lmdb.cpp:9160	remove_archival_alt_attestation_witness	remove_archival_alt_attestation_witness is a lone mdb_del, no counter, no side effect
archival_bond	apply	FORCED-BY:bond-post-JoinMarket	blockchain_db.cpp:309	put_archival_bond_record	put_archival_bond_record
archival_bond	revert	FORCED-BY:pop-of-that-block	blockchain_db.cpp:942	remove_archival_bond_record	remove_archival_bond_record
archival_shard_segment	apply	FORCED-BY:segment-freeze-first-crossing	blockchain_db.cpp:638	process_archival_segment_freezes_at_height	process_archival_segment_freezes_at_height; COST: needs 25992 curve-tree leaves, segment_leaf_count is NOT a tunable
archival_shard_segment	revert	FORCED-BY:pop-across-the-freeze-boundary	blockchain_db.cpp:889	revert_archival_segment_freezes	revert_archival_segment_freezes
